角度(度)	位移(mm)	速度(mm/s)	加速度(mm/s²)	工作阻力(N)
52.0	100.460	-413.779	-980.643	6300.0
53.0	98.146	-419.164	-957.807	6300.0
54.0	95.803	-424.421	-934.679	6300.0
55.0	93.431	-429.549	-911.266	6300.0
56.0	91.030	-434.546	-887.576	6300.0
57.0	88.603	-439.410	-863.615	6300.0
58.0	86.148	-444.141	-839.391	6300.0
59.0	83.668	-448.736	-814.912	6300.0
60.0	81.162	-453.195	-790.184	6300.0
61.0	78.633	-457.516	-765.216	6300.0
62.0	76.079	-461.697	-740.015	6300.0
63.0	73.503	-465.738	-714.588	6300.0
64.0	70.905	-469.637	-688.943	6300.0
65.0	68.285	-473.392	-663.089	6300.0
66.0	65.645	-477.004	-637.033	6300.0
67.0	62.985	-480.470	-610.782	6300.0
68.0	60.307	-483.790	-584.346	6300.0
69.0	57.610	-486.963	-557.732	6300.0
70.0	54.896	-489.987	-530.947	6300.0
71.0	52.166	-492.862	-504.001	6300.0
72.0	49.420	-495.586	-476.902	6300.0
73.0	46.660	-498.160	-449.657	6300.0
74.0	43.885	-500.582	-422.275	6300.0
75.0	41.098	-502.852	-394.765	6300.0
76.0	38.298	-504.968	-367.134	6300.0
77.0	35.488	-506.931	-339.392	6300.0
78.0	32.666	-508.739	-311.546	0.0
79.0	29.835	-510.393	-283.605	0.0
80.0	26.995	-511.890	-255.578	0.0
81.0	24.148	-513.232	-227.473	0.0
82.0	21.293	-514.418	-199.298	0.0
83.0	18.432	-515.446	-171.063	0.0
84.0	15.566	-516.318	-142.776	0.0
85.0	12.696	-517.033	-114.446	0.0
86.0	9.822	-517.590	-86.080	0.0
87.0	6.945	-517.989	-57.688	0.0
88.0	4.067	-518.231	-29.279	0.0
89.0	1.187	-518.314	-0.861	0.0
90.0	-1.692	-518.240	27.558	0.0
91.0	-4.571	-518.008	55.968	0.0
92.0	-7.448	-517.618	84.361	0.0
93.0	-10.322	-517.071	112.728	0.0
94.0	-13.192	-516.366	141.061	0.0
95.0	-16.059	-515.504	169.351	0.0
96.0	-18.920	-514.484	197.589	0.0
97.0	-21.775	-513.308	225.768	0.0
98.0	-24.623	-511.976	253.877	0.0
99.0	-27.463	-510.488	281.909	0.0
100.0	-30.295	-508.844	309.855	0.0
101.0	-33.117	-507.045	337.707	0.0
102.0	-35.928	-505.092	365.456	0.0
103.0	-38.729	-502.985	393.094	0.0
104.0	-41.517	-500.724	420.612	0.0
105.0	-44.292	-498.311	448.002	0.0
106.0	-47.053	-495.747	475.255	0.0
107.0	-49.800	-493.031	502.364	0.0
108.0	-52.531	-490.165	529.319	0.0
109.0	-55.246	-487.150	556.114	0.0
110.0	-57.944	-483.986	582.739	0.0
111.0	-60.623	-480.675	609.186	0.0
112.0	-63.284	-477.218	635.448	0.0
113.0	-65.926	-473.615	661.516	0.0
114.0	-68.546	-469.868	687.383	0.0
115.0	-71.146	-465.978	713.040	0.0
116.0	-73.724	-461.946	738.481	0.0
117.0	-76.279	-457.773	763.696	0.0
118.0	-78.810	-453.461	788.678	0.0
119.0	-81.317	-449.011	813.421	0.0
120.0	-83.799	-444.423	837.916	0.0
121.0	-86.255	-439.701	862.155	0.0
122.0	-88.684	-434.844	886.132	0.0
123.0	-91.086	-429.855	909.838	0.0
124.0	-93.460	-424.736	933.268	0.0
125.0	-95.805	-419.486	956.414	0.0
126.0	-98.121	-414.109	979.268	0.0
127.0	-100.406	-408.606	1001.823	0.0
128.0	-102.660	-402.978	1024.074	0.0
129.0	-104.883	-397.228	1046.013	0.0
130.0	-107.074	-391.357	1067.633	0.0
131.0	-109.231	-385.366	1088.928	0.0
132.0	-111.355	-379.258	1109.891	0.0
133.0	-113.445	-373.035	1130.516	0.0
134.0	-115.500	-366.697	1150.796	0.0
135.0	-117.519	-360.249	1170.727	0.0
136.0	-119.503	-353.690	1190.300	0.0
137.0	-121.449	-347.024	1209.511	0.0
138.0	-123.358	-340.252	1228.354	0.0
139.0	-125.229	-333.376	1246.822	0.0
140.0	-127.062	-326.399	1264.911	0.0
141.0	-128.856	-319.322	1282.614	0.0
142.0	-130.610	-312.148	1299.926	0.0
143.0	-132.324	-304.879	1316.843	0.0
144.0	-133.997	-297.517	1333.358	0.0
145.0	-135.630	-290.065	1349.468	0.0
146.0	-137.220	-282.524	1365.166	0.0
147.0	-138.769	-274.897	1380.448	0.0
148.0	-140.274	-267.187	1395.310	0.0
149.0	-141.737	-259.395	1409.747	0.0
150.0	-143.157	-251.524	1423.755	0.0
151.0	-144.532	-243.576	1437.328	0.0
152.0	-145.863	-235.554	1450.464	0.0
153.0	-147.149	-227.460	1463.159	0.0
154.0	-148.390	-219.298	1475.407	0.0
155.0	-149.585	-211.068	1487.206	0.0
156.0	-150.735	-202.774	1498.552	0.0
157.0	-151.838	-194.418	1509.441	0.0
158.0	-152.895	-186.003	1519.871	0.0
159.0	-153.905	-177.531	1529.838	0.0
160.0	-154.868	-169.006	1539.339	0.0
161.0	-155.783	-160.429	1548.371	0.0
162.0	-156.650	-151.803	1556.931	0.0
163.0	-157.469	-143.130	1565.017	0.0
164.0	-158.240	-134.414	1572.626	0.0
165.0	-158.963	-125.658	1579.756	0.0
166.0	-159.636	-116.862	1586.405	0.0
167.0	-160.261	-108.032	1592.571	0.0
168.0	-160.837	-99.168	1598.252	0.0
169.0	-161.363	-90.274	1603.445	0.0
170.0	-161.840	-81.353	1608.151	0.0
171.0	-162.267	-72.407	1612.366	0.0
172.0	-162.644	-63.439	1616.091	0.0
173.0	-162.972	-54.451	1619.323	0.0
174.0	-163.249	-45.447	1622.062	0.0
175.0	-163.477	-36.429	1624.306	0.0
176.0	-163.654	-27.400	1626.056	0.0
177.0	-163.781	-18.363	1627.311	0.0
178.0	-163.858	-9.320	1628.070	0.0
179.0	-163.885	-0.274	1628.333	0.0
180.0	-163.861	8.772	1628.100	0.0
181.0	-163.787	17.815	1627.371	0.0
182.0	-163.663	26.853	1626.146	0.0
183.0	-163.489	35.882	1624.426	0.0
184.0	-163.264	44.901	1622.212	0.0
185.0	-162.990	53.906	1619.503	0.0
186.0	-162.665	62.895	1616.300	0.0
187.0	-162.291	71.864	1612.606	0.0
188.0	-161.867	80.812	1608.420	0.0
189.0	-161.393	89.734	1603.744	0.0
190.0	-160.870	98.630	1598.580	0.0
191.0	-160.297	107.496	1592.929	0.0
192.0	-159.676	116.328	1586.792	0.0
193.0	-159.005	125.126	1580.173	0.0
194.0	-158.285	133.885	1573.072	0.0
195.0	-157.517	142.603	1565.491	0.0
196.0	-156.701	151.278	1557.434	0.0
197.0	-155.837	159.907	1548.903	0.0
198.0	-154.924	168.488	1539.899	0.0
199.0	-153.965	177.016	1530.427	0.0
200.0	-152.958	185.491	1520.488	0.0
201.0	-151.904	193.910	1510.086	0.0
202.0	-150.803	202.269	1499.225	0.0
203.0	-149.656	210.567	1487.906	0.0
204.0	-148.464	218.801	1476.135	0.0
205.0	-147.225	226.968	1463.913	0.0
206.0	-145.942	235.066	1451.246	0.0
207.0	-144.614	243.092	1438.137	0.0
208.0	-143.241	251.044	1424.589	0.0
209.0	-141.824	258.920	1410.608	0.0
210.0	-140.364	266.717	1396.197	0.0
211.0	-138.861	274.432	1381.361	0.0
212.0	-137.315	282.064	1366.104	0.0
213.0	-135.727	289.611	1350.431	0.0
214.0	-134.098	297.068	1334.346	0.0
215.0	-132.427	304.436	1317.855	0.0
216.0	-130.715	311.711	1300.963	0.0
217.0	-128.963	318.890	1283.674	0.0
218.0	-127.172	325.973	1265.994	0.0
219.0	-125.342	332.956	1247.929	0.0
220.0	-123.473	339.838	1229.483	0.0
221.0	-121.566	346.616	1210.663	0.0
222.0	-119.622	353.289	1191.474	0.0
223.0	-117.641	359.854	1171.923	0.0
224.0	-115.623	366.310	1152.014	0.0
225.0	-113.571	372.654	1131.754	0.0
226.0	-111.483	378.884	1111.150	0.0
227.0	-109.361	384.999	1090.207	0.0
228.0	-107.205	390.997	1068.932	0.0
229.0	-105.017	396.876	1047.332	0.0
230.0	-102.796	402.634	1025.412	0.0
231.0	-100.543	408.269	1003.180	0.0
232.0	-98.260	413.779	980.643	0.0
233.0	-95.946	419.164	957.807	0.0
234.0	-93.603	424.421	934.679	0.0
235.0	-91.231	429.549	911.266	0.0
236.0	-88.830	434.546	887.576	0.0
237.0	-86.403	439.410	863.615	0.0
238.0	-83.948	444.141	839.391	0.0
239.0	-81.468	448.736	814.912	0.0
240.0	-78.962	453.195	790.184	0.0
241.0	-76.433	457.516	765.216	0.0
242.0	-73.879	461.697	740.015	0.0
243.0	-71.303	465.738	714.588	0.0
244.0	-68.705	469.637	688.943	0.0
245.0	-66.085	473.392	663.089	0.0
246.0	-63.445	477.004	637.033	0.0
247.0	-60.785	480.470	610.782	0.0
248.0	-58.107	483.790	584.346	0.0
249.0	-55.410	486.963	557.732	0.0
250.0	-52.696	489.987	530.947	0.0
251.0	-49.966	492.862	504.001	0.0
252.0	-47.220	495.586	476.902	0.0
253.0	-44.460	498.160	449.657	0.0
254.0	-41.685	500.582	422.275	0.0
255.0	-38.898	502.852	394.765	0.0
256.0	-36.098	504.968	367.134	0.0
257.0	-33.288	506.931	339.392	0.0
258.0	-30.466	508.739	311.546	0.0
259.0	-27.635	510.393	283.605	0.0
260.0	-24.795	511.890	255.578	0.0
261.0	-21.948	513.232	227.473	0.0
262.0	-19.093	514.418	199.298	0.0
263.0	-16.232	515.446	171.063	0.0
264.0	-13.366	516.318	142.776	0.0
265.0	-10.496	517.033	114.446	0.0
266.0	-7.622	517.590	86.080	0.0
267.0	-4.745	517.989	57.688	0.0
268.0	-1.867	518.231	29.279	0.0
269.0	1.013	518.314	0.861	0.0
270.0	3.892	518.240	-27.558	0.0
271.0	6.771	518.008	-55.968	0.0
272.0	9.648	517.618	-84.361	0.0
273.0	12.522	517.071	-112.728	0.0
274.0	15.392	516.366	-141.061	0.0
275.0	18.259	515.504	-169.351	0.0
276.0	21.120	514.484	-197.589	0.0
277.0	23.975	513.308	-225.768	0.0
278.0	26.823	511.976	-253.877	0.0
279.0	29.663	510.488	-281.909	0.0
280.0	32.495	508.844	-309.855	0.0
281.0	35.317	507.045	-337.707	6300.0
282.0	38.128	505.092	-365.456	6300.0
283.0	40.929	502.985	-393.094	6300.0
284.0	43.717	500.724	-420.612	6300.0
285.0	46.492	498.311	-448.002	6300.0
286.0	49.253	495.747	-475.255	6300.0
287.0	52.000	493.031	-502.364	6300.0
288.0	54.731	490.165	-529.319	6300.0
289.0	57.446	487.150	-556.114	6300.0
290.0	60.144	483.986	-582.739	6300.0
291.0	62.823	480.675	-609.186	6300.0
292.0	65.484	477.218	-635.448	6300.0
293.0	68.126	473.615	-661.516	6300.0
294.0	70.746	469.868	-687.383	6300.0
295.0	73.346	465.978	-713.040	6300.0
296.0	75.924	461.946	-738.481	6300.0
297.0	78.479	457.773	-763.696	6300.0
298.0	81.010	453.461	-788.678	6300.0
299.0	83.517	449.011	-813.421	6300.0
300.0	85.999	444.423	-837.916	6300.0
301.0	88.455	439.701	-862.155	6300.0
302.0	90.884	434.844	-886.132	6300.0
303.0	93.286	429.855	-909.838	6300.0
304.0	95.660	424.736	-933.268	6300.0
305.0	98.005	419.486	-956.414	6300.0
306.0	100.321	414.109	-979.268	6300.0
307.0	102.606	408.606	-1001.823	6300.0
308.0	104.860	402.978	-1024.074	6300.0
309.0	107.083	397.228	-1046.013	6300.0
310.0	109.274	391.357	-1067.633	6300.0
311.0	111.431	385.366	-1088.928	6300.0
312.0	113.555	379.258	-1109.891	6300.0
313.0	115.645	373.035	-1130.516	6300.0
314.0	117.700	366.697	-1150.796	6300.0
315.0	119.719	360.249	-1170.727	6300.0
316.0	121.703	353.690	-1190.300	6300.0
317.0	123.649	347.024	-1209.511	6300.0
318.0	125.558	340.252	-1228.354	6300.0
319.0	127.429	333.376	-1246.822	6300.0
320.0	129.262	326.399	-1264.911	6300.0
321.0	131.056	319.322	-1282.614	6300.0
322.0	132.810	312.148	-1299.926	6300.0
323.0	134.524	304.879	-1316.843	0.0
324.0	136.197	297.517	-1333.358	0.0
325.0	137.830	290.065	-1349.468	0.0
326.0	139.420	282.524	-1365.166	0.0
327.0	140.969	274.897	-1380.448	0.0
328.0	142.474	267.187	-1395.310	0.0
329.0	143.937	259.395	-1409.747	0.0
330.0	145.357	251.524	-1423.755	0.0
331.0	146.732	243.576	-1437.328	0.0
332.0	148.063	235.554	-1450.464	0.0
333.0	149.349	227.460	-1463.159	0.0
334.0	150.590	219.298	-1475.407	0.0
335.0	151.785	211.068	-1487.206	0.0
336.0	152.935	202.774	-1498.552	0.0
337.0	154.038	194.418	-1509.441	0.0
338.0	155.095	186.003	-1519.871	0.0
339.0	156.105	177.531	-1529.838	0.0
340.0	157.068	169.006	-1539.339	0.0
341.0	157.983	160.429	-1548.371	0.0
342.0	158.850	151.803	-1556.931	0.0
343.0	159.669	143.130	-1565.017	0.0
344.0	160.440	134.414	-1572.626	0.0
345.0	161.163	125.658	-1579.756	0.0
346.0	161.836	116.862	-1586.405	0.0
347.0	162.461	108.032	-1592.571	0.0
348.0	163.037	99.168	-1598.252	0.0
349.0	163.563	90.274	-1603.445	0.0
350.0	164.040	81.353	-1608.151	0.0
351.0	164.467	72.407	-1612.366	0.0
352.0	164.844	63.439	-1616.091	0.0
353.0	165.172	54.451	-1619.323	0.0
354.0	165.449	45.447	-1622.062	0.0
355.0	165.677	36.429	-1624.306	0.0
356.0	165.854	27.400	-1626.056	0.0
357.0	165.981	18.363	-1627.311	0.0
358.0	166.058	9.320	-1628.070	0.0
359.0	166.085	0.274	-1628.333	0.0
